n_year,nombre_estado,cve_ent,genero,pob_start_year,pob_mid_year
1971,Durango,10,Mujeres,490945,496718
1971,Durango,10,Total,1001574,1012760
1971,Estado de México,15,Hombres,2150466,2227334
1971,Estado de México,15,Mujeres,2109010,2186221
1971,Estado de México,15,Total,4259476,4413555
1971,Guanajuato,11,Hombres,1229552,1245622
1971,Guanajuato,11,Mujeres,1216449,1233202
1971,Guanajuato,11,Total,2446001,2478824
1971,Guerrero,12,Hombres,879616,891356
1971,Guerrero,12,Mujeres,877327,888573
1971,Guerrero,12,Total,1756943,1779929
1971,Hidalgo,13,Hombres,651336,659274
1971,Hidalgo,13,Mujeres,642996,650381
1971,Hidalgo,13,Total,1294332,1309655
1971,Jalisco,14,Hombres,1771475,1795248
1971,Jalisco,14,Mujeres,1798709,1823835
1971,Jalisco,14,Total,3570184,3619083
1971,Michoacán,16,Hombres,1265666,1278252
1971,Michoacán,16,Mujeres,1250879,1264497
1971,Michoacán,16,Total,2516545,2542749
1971,Morelos,17,Hombres,336278,343231
1971,Morelos,17,Mujeres,335893,342891
1971,Morelos,17,Total,672171,686122
1971,Nacional,00,Hombres,26181508,26582712
1971,Nacional,00,Mujeres,26146194,26550872
1971,Nacional,00,Total,52327702,53133584
1971,Nayarit,18,Hombres,296228,300242
1971,Nayarit,18,Mujeres,286222,290204
1971,Nayarit,18,Total,582450,590446
1971,Nuevo León,19,Hombres,917288,934217
1971,Nuevo León,19,Mujeres,904049,920915
1971,Nuevo León,19,Total,1821337,1855132
1971,Oaxaca,20,Hombres,1099874,1108865
1971,Oaxaca,20,Mujeres,1110089,1118235
1971,Oaxaca,20,Total,2209963,2227100
1971,Puebla,21,Hombres,1375216,1393813
1971,Puebla,21,Mujeres,1382652,1401533
1971,Puebla,21,Total,2757868,2795346
1971,Querétaro,22,Hombres,266312,271770
1971,Querétaro,22,Mujeres,263129,268493
1971,Querétaro,22,Total,529441,540263
1971,Quintana Roo,23,Hombres,52244,55109
1971,Quintana Roo,23,Mujeres,47995,50642
1971,Quintana Roo,23,Total,100239,105751
1971,San Luis Potosí,24,Hombres,703509,712255
1971,San Luis Potosí,24,Mujeres,687045,695903
1971,San Luis Potosí,24,Total,1390554,1408158
1971,Sinaloa,25,Hombres,694396,706830
1971,Sinaloa,25,Mujeres,664089,676289
1971,Sinaloa,25,Total,1358485,1383119
1971,Sonora,26,Hombres,596320,605361
1971,Sonora,26,Mujeres,586854,595288
1971,Sonora,26,Total,1183174,1200649
1971,Tabasco,27,Hombres,420005,426471
1971,Tabasco,27,Mujeres,406216,412460
1971,Tabasco,27,Total,826221,838931
1971,Tamaulipas,28,Hombres,778329,788300
1971,Tamaulipas,28,Mujeres,779678,789780
1971,Tamaulipas,28,Total,1558007,1578080
1971,Tlaxcala,29,Hombres,230408,233346
1971,Tlaxcala,29,Mujeres,222861,225917
1971,Tlaxcala,29,Total,453269,459263
1971,Veracruz,30,Hombres,2092706,2126628
1971,Veracruz,30,Mujeres,2056957,2090974
1971,Veracruz,30,Total,4149663,4217602
1971,Yucatán,31,Hombres,417283,423892
1971,Yucatán,31,Mujeres,414583,420997
1971,Yucatán,31,Total,831866,844889
1971,Zacatecas,32,Hombres,506737,511275
1971,Zacatecas,32,Mujeres,503674,508397
1971,Zacatecas,32,Total,1010411,1019672
1972,Aguascalientes,01,Hombres,190159,194108
1972,Aguascalientes,01,Mujeres,193111,197135
1972,Aguascalientes,01,Total,383270,391243
1972,Baja California,02,Hombres,478857,485657
1972,Baja California,02,Mujeres,479410,486396
1972,Baja California,02,Total,958267,972053
1972,Baja California Sur,03,Hombres,74939,76861
1972,Baja California Sur,03,Mujeres,71071,72891
1972,Baja California Sur,03,Total,146010,149752
1972,Campeche,04,Hombres,147670,151355
1972,Campeche,04,Mujeres,144906,148511
1972,Campeche,04,Total,292576,299866
1972,Chiapas,07,Hombres,901723,913382
1972,Chiapas,07,Mujeres,873760,884592
1972,Chiapas,07,Total,1775483,1797974
1972,Chihuahua,08,Hombres,883219,891995
1972,Chihuahua,08,Mujeres,869650,879093
1972,Chihuahua,08,Total,1752869,1771088
1972,Ciudad de México,09,Hombres,3679738,3721289
1972,Ciudad de México,09,Mujeres,3912763,3956651
1972,Ciudad de México,09,Total,7592501,7677940
1972,Coahuila,05,Hombres,624029,633403
