cve_concatenada,sequia,racha,full_date_start_racha,full_date_end_racha,racha_dias
05005,D0,13,2019-02-28,2019-08-31,184
05005,D1,9,2012-05-31,2013-01-31,245
05005,D2,3,2013-02-28,2013-04-30,61
05005,D3,10,2011-07-31,2012-04-30,274
05005,D4,1,2006-08-31,2006-08-31,0
05005,Sin sequia,30,2003-01-31,2005-08-31,943
05006,D0,6,2009-01-31,2009-06-30,150
05006,D1,10,2012-07-31,2013-04-30,273
05006,D2,8,2022-04-30,2022-08-15,107
05006,D3,9,2011-08-31,2012-04-30,243
05006,D4,1,2011-06-30,2011-06-30,0
05006,Sin sequia,52,2013-06-30,2015-11-30,883
05007,D0,22,2017-05-15,2018-03-31,320
05007,D1,11,2021-08-31,2022-01-31,153
05007,D2,10,2022-12-31,2023-05-31,151
05007,D3,4,2012-01-31,2012-04-30,90
05007,D4,3,2011-10-31,2011-12-31,61
05007,Sin sequia,49,2013-09-30,2015-11-30,791
05008,D0,7,2020-06-15,2020-09-15,92
05008,D1,8,2012-06-30,2013-01-31,215
05008,D2,10,2022-02-28,2022-07-15,137
05008,D3,3,2011-03-31,2011-05-31,61
05008,D4,2,2011-10-31,2011-11-30,30
05008,Sin sequia,67,2014-07-31,2017-04-30,1004
05009,D0,11,2008-10-31,2009-08-31,304
05009,D1,14,2020-08-31,2021-03-15,196
05009,D2,14,2021-07-15,2022-01-31,200
05009,D3,6,2012-01-31,2012-06-30,151
05009,D4,2,2011-11-30,2011-12-31,31
05009,Sin sequia,22,2003-10-31,2005-08-31,670
05010,D0,7,2008-12-31,2009-06-30,181
05010,D1,10,2012-07-31,2013-04-30,273
05010,D2,8,2022-04-30,2022-08-15,107
05010,D3,5,2011-12-31,2012-04-30,121
05010,D4,2,2011-10-31,2011-11-30,30
05010,Sin sequia,52,2013-06-30,2015-11-30,883
05011,D0,6,2012-11-30,2013-04-30,151
05011,D1,8,2012-03-31,2012-10-31,214
05011,D2,7,2023-01-31,2023-05-15,104
05011,D3,6,2011-09-30,2012-02-29,152
05011,Sin sequia,90,2013-05-31,2017-06-15,1476
05012,D0,14,2017-02-28,2017-09-15,199
05012,D1,9,2012-04-30,2012-12-31,245
05012,D2,12,2022-09-15,2023-02-28,166
05012,D3,6,2006-01-31,2006-06-30,150
05012,D4,4,2011-09-30,2011-12-31,92
05012,Sin sequia,21,2003-07-31,2005-05-31,670
05013,D0,4,2008-11-30,2009-02-28,90
05013,D1,8,2024-01-31,2024-05-15,105
05013,D2,12,2022-09-15,2023-02-28,166
05013,D3,5,2006-03-31,2006-07-31,122
05013,D4,4,2011-08-31,2011-11-30,91
05013,Sin sequia,21,2003-07-31,2005-05-31,670
05014,D0,10,2023-05-31,2023-10-15,137
05014,D1,5,2012-03-31,2012-07-31,122
05014,D2,15,2022-09-15,2023-04-30,227
05014,D3,8,2022-03-15,2022-06-30,107
05014,D4,3,2011-04-30,2011-06-30,61
05014,Sin sequia,19,2003-07-31,2005-03-31,609
05015,D0,12,2023-07-15,2023-12-31,169
05015,D1,6,2012-05-31,2012-10-31,153
05015,D2,6,2023-01-31,2023-04-30,89
05015,D3,6,2022-02-28,2022-05-15,76
05015,D4,3,2011-09-30,2011-11-30,61
05015,Sin sequia,30,2003-01-31,2005-08-31,943
05016,D0,8,2012-10-31,2013-05-31,212
05016,D1,10,2020-11-30,2021-04-15,136
05016,D2,10,2022-02-28,2022-07-15,137
05016,D3,3,2011-03-31,2011-05-31,61
05016,D4,4,2011-10-31,2012-01-31,92
05016,Sin sequia,74,2014-04-15,2017-04-30,1111
05017,D0,12,2008-09-30,2009-08-31,335
05017,D1,5,2008-01-31,2008-05-31,121
05017,D2,6,2003-01-31,2003-06-30,150
05017,D3,4,2012-06-30,2012-09-30,92
05017,D4,3,2011-10-31,2011-12-31,61
05017,Sin sequia,26,2003-09-30,2005-11-30,792
05018,D0,7,2008-12-31,2009-06-30,181
05018,D1,7,2012-07-31,2013-01-31,184
05018,D2,8,2022-04-30,2022-08-15,107
05018,D3,6,2011-11-30,2012-04-30,152
05018,D4,1,2006-08-31,2006-08-31,0
05018,Sin sequia,30,2003-01-31,2005-08-31,943
05019,D0,8,2023-05-31,2023-09-15,107
05019,D1,9,2012-09-30,2013-05-31,243
05019,D2,14,2019-10-31,2020-05-15,197
05019,D3,11,2022-03-15,2022-08-15,153
05019,D4,2,2006-07-31,2006-08-31,31
05019,Sin sequia,24,2003-07-31,2005-08-31,762
05020,D0,10,2009-01-31,2009-10-31,273
05020,D1,10,2019-09-15,2020-01-31,138
05020,D2,3,2010-11-30,2011-01-31,62
05020,D3,9,2022-02-28,2022-06-30,122
05020,D4,4,2011-09-30,2011-12-31,92
05020,Sin sequia,24,2003-07-31,2005-08-31,762
05021,D0,7,2003-01-31,2003-07-31,181
05021,D1,15,2020-11-30,2021-06-30,212
05021,D2,10,2022-02-28,2022-07-15,137
05021,D3,3,2011-03-31,2011-05-31,61
05021,D4,4,2011-10-31,2012-01-31,92
05021,Sin sequia,74,2014-04-15,2017-04-30,1111
05022,D0,9,2017-05-15,2017-09-15,123
05022,D1,4,2012-09-30,2012-12-31,92
05022,D2,15,2022-09-15,2023-04-30,227
05022,D3,9,2022-04-30,2022-08-31,123
05022,D4,2,2006-07-31,2006-08-31,31
05022,Sin sequia,21,2003-07-31,2005-05-31,670
05023,D0,12,2017-07-31,2018-01-15,168
05023,D1,8,2018-01-31,2018-05-15,104
05023,D2,15,2021-01-15,2021-08-15,212
05023,D3,7,2022-03-31,2022-06-30,91
05023,D4,4,2011-10-31,2012-01-31,92
05023,Sin sequia,64,2012-11-30,2016-02-15,1172
05024,D0,12,2008-09-30,2009-08-31,335
05024,D1,5,2008-02-29,2008-06-30,122
05024,D2,11,2022-04-30,2022-09-30,153
05024,D3,7,2011-11-30,2012-05-31,183
05024,D4,1,2011-10-31,2011-10-31,0
05024,Sin sequia,48,2013-09-30,2015-11-15,776
05025,D0,9,2017-05-15,2017-09-15,123
05025,D1,11,2023-10-31,2024-03-31,152
05025,D2,15,2022-09-15,2023-04-30,227
05025,D3,9,2022-02-28,2022-06-30,122
05025,D4,2,2006-07-31,2006-08-31,31
05025,Sin sequia,19,2003-07-31,2005-03-31,609
05026,D0,10,2019-09-30,2020-02-15,138
05026,D1,9,2012-05-31,2013-01-31,245
05026,D2,5,2023-02-28,2023-05-15,76
05026,D3,3,2011-03-31,2011-05-31,61
05026,D4,2,2011-10-31,2011-11-30,30
