system:index,01,02,03,04,05,06,07,08,09,10,11,12,CVEGEO,CVE_ENT,NOMGEO,n_year,.geo
00000000000000000013,11.781388361981723,5.905717053337027,12.188323425319709,38.9273488568163,117.05826077321984,130.98708457058785,189.56847624315952,221.3683199750521,124.22075951834898,139.5239557905662,64.19383470694581,37.68880372941733,20,20,Oaxaca,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,6.721741019797417,5.522310862868401,19.918981573071207,40.39945082315504,109.9295275036972,50.37746580663383,108.75305995976431,168.65068210362978,97.28328375793517,120.33386412521142,99.65420204924801,32.06880714780308,21,21,Puebla,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,4.640826383553744,2.0995201879344356,12.842334311075373,18.994786425495512,70.19438427520986,16.70541759205998,84.82024070285465,90.55712777865696,26.504454927559205,85.01456100186984,28.540764570845575,37.64928694581007,22,22,Quer�taro,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,61.000455754001266,27.42663702360719,60.99318758457666,17.72112807217774,64.74586774646083,130.56951596138902,108.25150090673088,196.43208203686308,157.52104213290144,117.91913827241615,207.86465823175624,93.36829212992609,23,23,Quintana Roo,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,3.626703895056084,3.0777658110621693,5.965232769465854,20.541776894896145,70.10189573375094,15.263711346655382,34.991961123589654,44.11717801553652,14.631747678361311,68.14803740331155,43.02357394240287,37.339374387236525,24,24,San Luis Potos�,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,3.5534762273288574,7.2200724439455115,3.010211733538281,1.5726203031528914,3.5137185855584354,5.231635172709677,139.048039900337,143.04406701722056,88.67859856122264,176.7916099451567,12.001513992836681,8.156931658670377,25,25,Sinaloa,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,23.940069870845026,20.569741285886973,9.238079738354289,0.5459239959136583,3.032559450043777,4.002614799331732,53.655164950482984,48.59685963237212,25.4274992796946,22.18025535039756,6.844145126274077,12.61725486255901,26,26,Sonora,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,136.8396547709168,204.2968598276025,99.01567837852829,34.31868794406456,65.78896589114004,104.15058476970192,230.49321572935935,160.00625682368656,203.31254027640912,258.74808476200894,372.17703367420773,172.82635913269343,27,27,Tabasco,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,5.307620842212393,3.237188642413907,15.370823686166787,82.01107088304293,148.83022612113456,30.398410648022217,20.040445227570295,60.6081360754656,31.010667051710556,101.7832292635478,56.94869475356324,29.185727016467432,28,28,Tamaulipas,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,1.8000057780018777,0.7348321622031128,16.87014484592102,30.2575648882753,85.0104074141143,53.615188371004464,101.84966878735334,115.64116152911797,84.30164159200137,74.53007083891083,52.39174988639982,18.07022935496648,29,29,Tlaxcala,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,32.89082630530665,33.66051805545255,36.54344264226115,75.44693488546316,108.47132347611242,85.69829148287253,270.0616471915288,187.5013027788078,140.26149023124916,251.8010186668789,126.3387758942931,120.33445030426611,30,30,Veracruz de Ignacio de la Llave,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
