nombre_estado,cve_ent,nombre_municipio,cve_geo,normal_pr_mm
Chihuahua,08,Morelos,08046,952.0242136757697
Chihuahua,08,Moris,08047,840.2890098392107
Chihuahua,08,Namiquipa,08048,417.6212121396641
Chihuahua,08,Nonoava,08049,519.7118843356586
Chihuahua,08,Nuevo Casas Grandes,08050,305.84507978644206
Chihuahua,08,Ocampo,08051,849.1415709321809
Chihuahua,08,Ojinaga,08052,308.9856347396918
Chihuahua,08,Praxedis G. Guerrero,08053,286.02319052703274
Chihuahua,08,Riva Palacio,08054,442.94286315496663
Chihuahua,08,Rosales,08055,305.8261013669345
Chihuahua,08,Rosario,08056,444.1896062534908
Chihuahua,08,San Francisco de Borja,08057,506.496888670231
Chihuahua,08,San Francisco de Conchos,08058,308.40415808115404
Chihuahua,08,San Francisco del Oro,08059,532.9686889898957
Chihuahua,08,Santa Bárbara,08060,546.4365287618873
Chihuahua,08,Satevó,08061,396.84205189965235
Chihuahua,08,Saucillo,08062,299.99298844349175
Chihuahua,08,Temósachic,08063,660.8304743540662
Chihuahua,08,El Tule,08064,463.9932854457667
Chihuahua,08,Urique,08065,848.0654961416124
Chihuahua,08,Uruachi,08066,850.8569771173002
Chihuahua,08,Valle de Zaragoza,08067,363.8851447558754
Ciudad de México,09,Azcapotzalco,09002,787.8691158148844
Ciudad de México,09,Coyoacán,09003,856.6459579445702
Ciudad de México,09,Cuajimalpa de Morelos,09004,1149.564849608068
Ciudad de México,09,Gustavo A. Madero,09005,666.0405623855731
Ciudad de México,09,Iztacalco,09006,669.0847398251395
Ciudad de México,09,Iztapalapa,09007,696.7135189806471
Ciudad de México,09,La Magdalena Contreras,09008,1174.6503445740639
Ciudad de México,09,Milpa Alta,09009,1089.4541494786245
Ciudad de México,09,Álvaro Obregón,09010,1120.4745119782922
Ciudad de México,09,Tláhuac,09011,736.224939960549
Ciudad de México,09,Tlalpan,09012,1121.626605870626
Ciudad de México,09,Xochimilco,09013,861.2662201118503
Ciudad de México,09,Benito Juárez,09014,818.4486351134999
Ciudad de México,09,Cuauhtémoc,09015,727.9149564582616
Ciudad de México,09,Miguel Hidalgo,09016,832.5432968550014
Ciudad de México,09,Venustiano Carranza,09017,635.9066731398966
Durango,10,Canatlán,10001,576.664489255944
Durango,10,Canelas,10002,1141.579467529927
Durango,10,Coneto de Comonfort,10003,487.3047749615643
Durango,10,Cuencamé,10004,412.24078430060126
Durango,10,Durango,10005,647.2586967549984
Durango,10,General Simón Bolívar,10006,369.80703468474
Durango,10,Gómez Palacio,10007,246.44574021497448
Durango,10,Guadalupe Victoria,10008,467.5173761809718
Durango,10,Guanaceví,10009,683.5475295259806
Durango,10,Hidalgo,10010,390.287599324225
Durango,10,Indé,10011,456.65192015875107
Durango,10,Lerdo,10012,317.68899624984317
Durango,10,Mapimí,10013,295.50660801404274
Durango,10,Mezquital,10014,845.9664407658381
Durango,10,Nazas,10015,363.56978290240784
Durango,10,Nombre de Dios,10016,497.09787569901516
Durango,10,Ocampo,10017,524.1788407720632
Durango,10,El Oro,10018,505.94056041164765
Durango,10,Otáez,10019,958.7862636648572
Durango,10,Pánuco de Coronado,10020,511.2893895429112
Durango,10,Peñón Blanco,10021,447.8507454417351
Durango,10,Poanas,10022,480.11136177488356
Durango,10,Pueblo Nuevo,10023,968.5204437644551
Durango,10,Rodeo,10024,423.9812685742859
Durango,10,San Bernardo,10025,538.6515730475578
Durango,10,San Dimas,10026,901.7795650539043
Durango,10,San Juan de Guadalupe,10027,330.24058786572107
Durango,10,San Juan del Río,10028,460.1152518217143
Durango,10,San Luis del Cordero,10029,383.46920524389304
Durango,10,San Pedro del Gallo,10030,363.7903986370614
Durango,10,Santa Clara,10031,418.75163430331645
Durango,10,Santiago Papasquiaro,10032,761.6718919870614
Durango,10,Súchil,10033,593.4993071778201
Durango,10,Tamazula,10034,1019.0377755797941
Durango,10,Tepehuanes,10035,752.7649097412664
Durango,10,Tlahualilo,10036,235.90869620346385
Durango,10,Topia,10037,1060.3028646625062
Durango,10,Vicente Guerrero,10038,490.79585436314824
Durango,10,Nuevo Ideal,10039,564.9605021941028
Guanajuato,11,Abasolo,11001,678.8572584337339
Guanajuato,11,Acámbaro,11002,757.512135079624
Guanajuato,11,San Miguel de Allende,11003,581.4789230079701
Guanajuato,11,Apaseo el Alto,11004,666.1049215607998
Guanajuato,11,Apaseo el Grande,11005,619.4412037001356
Guanajuato,11,Atarjea,11006,566.9806922579074
Guanajuato,11,Celaya,11007,639.3958805483073
Guanajuato,11,Manuel Doblado,11008,693.2828937812287
Guanajuato,11,Comonfort,11009,640.0760358193984
Guanajuato,11,Coroneo,11010,719.1366698142297
Guanajuato,11,Cortazar,11011,654.7450469178074
Guanajuato,11,Cuerámaro,11012,696.2672611537155
Guanajuato,11,Doctor Mora,11013,440.1320749443806
Guanajuato,11,Dolores Hidalgo,11014,549.6323268712517
Guanajuato,11,Guanajuato,11015,673.8757619798295
Guanajuato,11,Huanímaro,11016,704.6095449782149
Guanajuato,11,Irapuato,11017,676.0310118947161
Guanajuato,11,Jaral del Progreso,11018,663.6531386587352
Guanajuato,11,Jerécuaro,11019,734.9128935945946
Guanajuato,11,León,11020,614.6456087033058
Guanajuato,11,Moroleón,11021,707.8431522486035
Guanajuato,11,Ocampo,11022,515.3916770987148
Guanajuato,11,Pénjamo,11023,691.248817265475
Guanajuato,11,Pueblo Nuevo,11024,678.2851150916493
Guanajuato,11,Purísima del Rincón,11025,677.1609029954415
Guanajuato,11,Romita,11026,657.2990021230702
Guanajuato,11,Salamanca,11027,657.5320849406338
Guanajuato,11,Salvatierra,11028,684.2256426429167
Guanajuato,11,San Diego de la Unión,11029,423.6388672790093
Guanajuato,11,San Felipe,11030,510.4412385328589
Guanajuato,11,San Francisco del Rincón,11031,653.9571242590357
Guanajuato,11,San José Iturbide,11032,516.8004583412485
Guanajuato,11,San Luis de la Paz,11033,424.7370710325203
Guanajuato,11,Santa Catarina,11034,487.40525508733134
Guanajuato,11,Santa Cruz de Juventino Rosas,11035,666.2316217365516
Guanajuato,11,Santiago Maravatío,11036,657.2134902597194
Guanajuato,11,Silao de la Victoria,11037,678.3705261099619
Guanajuato,11,Tarandacuao,11038,809.856100014513
Guanajuato,11,Tarimoro,11039,690.6178170036957
Guanajuato,11,Tierra Blanca,11040,554.8433817369271
Guanajuato,11,Uriangato,11041,689.4923205969658
Guanajuato,11,Valle de Santiago,11042,646.6200399120851
Guanajuato,11,Victoria,11043,440.8325205694234
Guanajuato,11,Villagrán,11044,669.2440290268255
Guanajuato,11,Xichú,11045,547.8252023075652
Guanajuato,11,Yuriria,11046,668.5074631928554
Guerrero,12,Acapulco de Juárez,12001,1220.6215308731062
Guerrero,12,Ahuacuotzingo,12002,952.817950073032
Guerrero,12,Ajuchitlán del Progreso,12003,1342.7131511598236
Guerrero,12,Alcozauca de Guerrero,12004,1130.539286500992
Guerrero,12,Alpoyeca,12005,849.6177562118602
Guerrero,12,Apaxtla,12006,1032.7621841466007
Guerrero,12,Arcelia,12007,1145.8882846465292
Guerrero,12,Atenango del Río,12008,864.246639026315
Guerrero,12,Atlamajalcingo del Monte,12009,1710.8686155770956
Guerrero,12,Atlixtac,12010,1276.0012283703807
Guerrero,12,Atoyac de Álvarez,12011,1395.607280217332
Guerrero,12,Ayutla de los Libres,12012,1523.672028067972
Guerrero,12,Azoyú,12013,1467.9457319952228
Guerrero,12,Benito Juárez,12014,1085.8343747905844
Guerrero,12,Buenavista de Cuéllar,12015,1078.7678980054382
Guerrero,12,Coahuayutla de José María Izazaga,12016,894.4955301659254
Guerrero,12,Cocula,12017,979.2758104998545
Guerrero,12,Copala,12018,1256.5696002055847
Guerrero,12,Copalillo,12019,830.8511205441981
Guerrero,12,Copanatoyac,12020,1364.7678555763905
Guerrero,12,Coyuca de Benítez,12021,1241.5173941652374
Guerrero,12,Coyuca de Catalán,12022,1260.7814606150725
Guerrero,12,Cuajinicuilapa,12023,1260.6283123293967
Guerrero,12,Cualác,12024,971.255271665444
Guerrero,12,Cuautepec,12025,1426.7750976983596
