nombre_estado,cve_ent,n_month,normal_pr_mm,normal_cumsum_pr_mm
Durango,10,02,10.011913834685307,30.640838113256358
Durango,10,03,6.1482852506146575,36.78912336387101
Durango,10,04,5.023011153919295,41.81213451779031
Durango,10,05,13.18029821617985,54.99243273397016
Durango,10,06,77.75180485441562,132.74423758838577
Durango,10,07,152.35169264983358,285.09593023821935
Durango,10,08,139.04611960266558,424.14204984088497
Durango,10,09,111.9620732484817,536.1041230893667
Durango,10,10,39.24789804124605,575.3520211306127
Durango,10,11,13.836026755978427,589.1880478865911
Durango,10,12,20.575694710176926,609.763742596768
Guanajuato,11,01,14.369170075980822,14.369170075980822
Guanajuato,11,02,5.481834993203313,19.851005069184133
Guanajuato,11,03,5.939800095976126,25.790805165160258
Guanajuato,11,04,11.685447825383177,37.476252990543436
Guanajuato,11,05,35.139036759873576,72.61528975041702
Guanajuato,11,06,102.81913319072504,175.43442294114206
Guanajuato,11,07,142.23107922271416,317.6655021638562
Guanajuato,11,08,116.71943473596474,434.38493689982096
Guanajuato,11,09,103.71007254799119,538.0950094478121
Guanajuato,11,10,40.648157019094896,578.743166466907
Guanajuato,11,11,10.228659561825019,588.971826028732
Guanajuato,11,12,7.787490782592826,596.7593168113249
Guerrero,12,01,11.675782839484873,11.675782839484873
Guerrero,12,02,2.4138719834418865,14.089654822926759
Guerrero,12,03,1.84518731107966,15.93484213400642
Guerrero,12,04,3.8254259333207035,19.760268067327125
Guerrero,12,05,42.16327160793935,61.923539675266476
Guerrero,12,06,240.12432380871502,302.0478634839815
Guerrero,12,07,255.44531250579996,557.4931759897814
Guerrero,12,08,257.8331894898291,815.3263654796106
Guerrero,12,09,273.6587374059159,1088.9851028855264
Guerrero,12,10,121.18951757545256,1210.174620460979
Guerrero,12,11,16.993607031886352,1227.1682274928653
Guerrero,12,12,4.209482706895779,1231.3777101997612
Hidalgo,13,01,18.848878863500165,18.848878863500165
Hidalgo,13,02,16.179685408351055,35.028564271851224
Hidalgo,13,03,16.718340342642595,51.746904614493815
Hidalgo,13,04,35.81327792983137,87.56018254432519
Hidalgo,13,05,59.371503543969666,146.93168608829484
Hidalgo,13,06,118.23598240569343,265.1676684939883
Hidalgo,13,07,136.61751161378845,401.78518010777674
Hidalgo,13,08,118.18076336712426,519.965943474901
