nombre_estado,cve_ent,n_month,n_day,normal_pr_mm
Morelos,17,3,20,0.11779961092630206
Morelos,17,3,21,0.08423853254593455
Morelos,17,3,22,0.10172395865296818
Morelos,17,3,23,0.13251630190104433
Morelos,17,3,24,0.11730215028358372
Morelos,17,3,25,0.13908677124153704
Morelos,17,3,26,0.3877012431172766
Morelos,17,3,27,0.18700865809587983
Morelos,17,3,28,0.23176647427449323
Morelos,17,3,29,0.2683207736584296
Morelos,17,3,30,0.07494158925322496
Morelos,17,3,31,0.4125128940917262
Morelos,17,4,1,0.21032888750838427
Morelos,17,4,2,0.043473020971400336
Morelos,17,4,3,0.1181207602954615
Morelos,17,4,4,0.21245075184321352
Morelos,17,4,5,0.2461305633838971
Morelos,17,4,6,0.17070376336124257
Morelos,17,4,7,0.2787341702643168
Morelos,17,4,8,0.8606035799188958
Morelos,17,4,9,0.2171133331484717
Morelos,17,4,10,0.3807765274079699
Morelos,17,4,11,0.16484913202143506
Morelos,17,4,12,0.400809767484663
Morelos,17,4,13,0.2631415721645118
Morelos,17,4,14,0.15829926703706232
Morelos,17,4,15,0.336038618572713
Morelos,17,4,16,0.25611722203531506
Morelos,17,4,17,0.5804401817359703
Morelos,17,4,18,0.7184935727591077
Morelos,17,4,19,0.3232836231898607
Morelos,17,4,20,0.4567576615056314
Morelos,17,4,21,0.5698029905634547
Morelos,17,4,22,0.6746844921289682
Morelos,17,4,23,0.6128677657810583
Morelos,17,4,24,1.0242256619508292
Morelos,17,4,25,0.6652542184624213
Morelos,17,4,26,0.9459574430312518
Morelos,17,4,27,0.4037883738042278
Morelos,17,4,28,0.7655407418922486
Morelos,17,4,29,0.8849203950314193
Morelos,17,4,30,0.6882251883153315
Morelos,17,5,1,0.4982724201943444
Morelos,17,5,2,0.8246963015769228
Morelos,17,5,3,0.6720320046336331
Morelos,17,5,4,1.0108218548397934
Morelos,17,5,5,1.5626504241937262
Morelos,17,5,6,1.5112540593251023
Morelos,17,5,7,1.2800627897887449
Morelos,17,5,8,1.4749298310812373
Morelos,17,5,9,0.9542651038234244
Morelos,17,5,10,1.8815889453491899
Morelos,17,5,11,0.8715381565439577
Morelos,17,5,12,1.8366961913860964
Morelos,17,5,13,1.9285457869667249
Morelos,17,5,14,2.4793606425907058
Morelos,17,5,15,1.7984238676853253
Morelos,17,5,16,1.2742824149671947
Morelos,17,5,17,1.7198998602516071
Morelos,17,5,18,2.2157626243409423
Morelos,17,5,19,1.6680440968102315
Morelos,17,5,20,1.779818552230611
Morelos,17,5,21,2.897345894261214
Morelos,17,5,22,1.6208837229452646
Morelos,17,5,23,1.8641402382120134
Morelos,17,5,24,2.4756886449190647
Morelos,17,5,25,0.833985377443787
Morelos,17,5,26,2.654477078974999
Morelos,17,5,27,3.1395336207061892
Morelos,17,5,28,4.300133471036378
Morelos,17,5,29,3.4093203538496164
Morelos,17,5,30,4.800129303173411
Morelos,17,5,31,5.131160274336451
Morelos,17,6,1,5.721698223949624
Morelos,17,6,2,3.432927104175568
Morelos,17,6,3,4.07542285142855
Morelos,17,6,4,5.246850471955981
Morelos,17,6,5,4.528951443164737
Morelos,17,6,6,8.291957308481466
Morelos,17,6,7,7.157007478474135
Morelos,17,6,8,7.992276098856818
Morelos,17,6,9,7.861343793746104
Morelos,17,6,10,6.402539257786252
Morelos,17,6,11,6.093339619446925
Morelos,17,6,12,7.34255709440211
Morelos,17,6,13,6.377526618801028
Morelos,17,6,14,5.803603419168312
Morelos,17,6,15,9.764869786657314
Morelos,17,6,16,6.80094623724612
Morelos,17,6,17,7.886122090192828
Morelos,17,6,18,7.874970856531896
Morelos,17,6,19,5.792009408430933
Morelos,17,6,20,5.589406121642303
Morelos,17,6,21,8.13738607750362
Morelos,17,6,22,8.87205641490191
Morelos,17,6,23,5.692778446468383
Morelos,17,6,24,7.730205414719317
Morelos,17,6,25,9.952903014168157
Morelos,17,6,26,6.634231624314744
Morelos,17,6,27,6.231275481739777
Morelos,17,6,28,7.202967047117049
Morelos,17,6,29,8.399123704695603
Morelos,17,6,30,10.795301861624125
Morelos,17,7,1,9.271012837445031
Morelos,17,7,2,7.622457421353079
Morelos,17,7,3,9.083729483881553
