cve_ent,nombre_estado,date_year_month,n_year,n_month,pr_mm,anomaly_pr_mm,anomaly_pr_prop
12,Guerrero,1991-09-15,1991,9,270.19899979090167,-3.4597376150142054,-0.012642525679282089
12,Guerrero,1991-10-15,1991,10,119.60969366279578,-1.579823912656778,-0.013035978228671304
12,Guerrero,1991-11-15,1991,11,20.505453706159802,3.5118466742734498,0.2066569309084242
12,Guerrero,1991-12-15,1991,12,6.72249245152704,2.513009744631261,0.5969877820176254
13,Hidalgo,1991-01-15,1991,1,16.19407678407197,-2.654802079428194,-0.14084668370218426
13,Hidalgo,1991-02-15,1991,2,8.698562516584635,-7.48112289176642,-0.4623775248377252
13,Hidalgo,1991-03-15,1991,3,6.117801954017849,-10.600538388624745,-0.6340664307201898
13,Hidalgo,1991-04-15,1991,4,23.13755473665815,-12.675723193173223,-0.35393920707310433
13,Hidalgo,1991-05-15,1991,5,48.13291431901368,-11.238589224955987,-0.18929264974118185
13,Hidalgo,1991-06-15,1991,6,153.04534730858785,34.809364902894416,0.2944058500182787
13,Hidalgo,1991-07-15,1991,7,185.0968876739083,48.47937606011985,0.35485477291643885
13,Hidalgo,1991-08-15,1991,8,61.3950163701988,-56.78574699692544,-0.48049907090651106
13,Hidalgo,1991-09-15,1991,9,169.55843758451928,3.11029989856263,0.018686300380428036
13,Hidalgo,1991-10-15,1991,10,137.13247649478134,50.46047609380031,0.5822004322081985
13,Hidalgo,1991-11-15,1991,11,44.506411611431986,13.992217142412127,0.45854781310442266
13,Hidalgo,1991-12-15,1991,12,34.18512803625157,18.206825727726795,1.139471852276387
14,Jalisco,1991-01-15,1991,1,2.067681608537041,-13.967209635416753,-0.8710510986897593
14,Jalisco,1991-02-15,1991,2,2.193474647887189,-3.336540475193629,-0.6033510579867662
14,Jalisco,1991-03-15,1991,3,0.06046326729710084,-4.1163378018823185,-0.9855240251341489
14,Jalisco,1991-04-15,1991,4,3.207550540844441,-1.1595618423006884,-0.26552141107611915
14,Jalisco,1991-05-15,1991,5,5.213176555188678,-13.128914957055176,-0.7157806920923528
14,Jalisco,1991-06-15,1991,6,134.51455396953932,-19.259373686540584,-0.12524472763428898
14,Jalisco,1991-07-15,1991,7,277.0159656240537,59.988385952233045,0.27640904461518107
14,Jalisco,1991-08-15,1991,8,154.13699700122078,-40.22357597650094,-0.20695337207670975
14,Jalisco,1991-09-15,1991,9,170.40245819783166,-5.102941093453893,-0.02907569290779803
14,Jalisco,1991-10-15,1991,10,42.52179941924823,-23.654757548760877,-0.35744920304929123
14,Jalisco,1991-11-15,1991,11,20.797575173867138,7.8274417677597565,0.60349739842105
14,Jalisco,1991-12-15,1991,12,18.823052990138898,6.722606866443494,0.555566860735747
15,Estado de México,1991-01-15,1991,1,6.679102938301929,-6.030608776642351,-0.47448824268385775
15,Estado de México,1991-02-15,1991,2,1.0142014585450592,-4.930553911548724,-0.8293955940311369
15,Estado de México,1991-03-15,1991,3,2.5625859949206373,-5.036494401194272,-0.662776828071094
15,Estado de México,1991-04-15,1991,4,10.08853455902914,-10.505339619214388,-0.5101196369507196
15,Estado de México,1991-05-15,1991,5,57.03596095163673,-4.787374246457958,-0.07743636332653724
15,Estado de México,1991-06-15,1991,6,212.07720555884927,39.21067177691717,0.22682627411492323
15,Estado de México,1991-07-15,1991,7,220.51247476957812,28.217296870538547,0.14673949278828732
15,Estado de México,1991-08-15,1991,8,146.60259339352854,-33.31423375361783,-0.1851646356923109
15,Estado de México,1991-09-15,1991,9,173.04277444907575,7.292359558645046,0.043996025973543774
15,Estado de México,1991-10-15,1991,10,95.27886002692317,20.708453054159875,0.277703366453714
15,Estado de México,1991-11-15,1991,11,23.59547413068647,5.313861423230598,0.2906669946608935
15,Estado de México,1991-12-15,1991,12,10.108894248320652,3.761177413618576,0.5925244480120391
16,Michoacán,1991-01-15,1991,1,3.532026689214812,-10.367229643237629,-0.7458837649487678
16,Michoacán,1991-02-15,1991,2,0.48737979582591906,-2.917625738692441,-0.856863728741381
16,Michoacán,1991-03-15,1991,3,0.05697061361863875,-3.0410712655782053,-0.9816107671102857
16,Michoacán,1991-04-15,1991,4,2.0138286650249824,-3.141103763334606,-0.6093394640934553
16,Michoacán,1991-05-15,1991,5,14.85802240256684,-13.59111583346448,-0.4777338322413963
16,Michoacán,1991-06-15,1991,6,154.51801616303078,-3.1434527303097752,-0.019937989620256235
16,Michoacán,1991-07-15,1991,7,201.0887179521975,-5.761029664733201,-0.027851277224675033
16,Michoacán,1991-08-15,1991,8,173.52171522431226,-16.956804862873952,-0.08902213674860793
16,Michoacán,1991-09-15,1991,9,207.32761984093554,29.572526041135376,0.16636668693411374
16,Michoacán,1991-10-15,1991,10,65.63177325054205,-15.084977616000245,-0.1868878201123564
16,Michoacán,1991-11-15,1991,11,20.283152076993016,5.599656610796229,0.38135719275340996
16,Michoacán,1991-12-15,1991,12,9.547517207008209,1.8663741785167742,0.24298130780716987
17,Morelos,1991-01-15,1991,1,1.7353122768304223,-7.271163649450479,-0.8073261627484308
17,Morelos,1991-02-15,1991,2,0.27433728614510694,-2.2677508452799144,-0.8920819137803373
17,Morelos,1991-03-15,1991,3,1.0437150210942694,-3.1812645016186964,-0.7529656616124678
17,Morelos,1991-04-15,1991,4,5.3997304046860215,-8.230280526755216,-0.6038352110026478
17,Morelos,1991-05-15,1991,5,49.17013283751649,-13.190770491004066,-0.2115230823632298
17,Morelos,1991-06-15,1991,6,258.1279129247526,48.47649961277975,0.23122429201392528
17,Morelos,1991-07-15,1991,7,184.45453075327833,-13.018496853071952,-0.06592544313962453
17,Morelos,1991-08-15,1991,8,146.32014405292222,-53.62569823252562,-0.26820111696030263
17,Morelos,1991-09-15,1991,9,231.987166514847,27.333295882136667,0.13355865587898597
17,Morelos,1991-10-15,1991,10,88.7304140209327,21.12633850335017,0.3125009600620248
17,Morelos,1991-11-15,1991,11,21.15246678925435,8.576695626093757,0.6820015659332519
17,Morelos,1991-12-15,1991,12,4.688669698458963,2.3087635851046433,0.9701070021836259
18,Nayarit,1991-01-15,1991,1,0.6783884859865643,-18.419180010614156,-0.9644777561024425
18,Nayarit,1991-02-15,1991,2,2.346334182293318,-6.611198990108941,-0.7380602296263592
18,Nayarit,1991-03-15,1991,3,0.08268069812746931,-3.667817743322378,-0.9779547440378332
18,Nayarit,1991-04-15,1991,4,3.106748067576362,0.7613895126045622,0.32463672174582153
18,Nayarit,1991-05-15,1991,5,0.389020203168519,-4.332863907200328,-0.9176133521967927
18,Nayarit,1991-06-15,1991,6,96.75252170725852,-35.1311551717985,-0.26637985839608697
18,Nayarit,1991-07-15,1991,7,233.75280425522942,-58.115283244206466,-0.19911489379365185
18,Nayarit,1991-08-15,1991,8,246.46625527653995,-45.33128467287034,-0.1553518397746929
18,Nayarit,1991-09-15,1991,9,243.3798394715538,-1.347484339190828,-0.005506064129695956
18,Nayarit,1991-10-15,1991,10,86.74302590829382,12.862578056492467,0.17409989287414493
18,Nayarit,1991-11-15,1991,11,29.10732447108253,16.86767539102872,1.378117565357075
18,Nayarit,1991-12-15,1991,12,32.83873005160609,14.335655160130749,0.7747715038831416
19,Nuevo León,1991-01-15,1991,1,14.17162626053255,-6.48555338353451,-0.31396122293960993
19,Nuevo León,1991-02-15,1991,2,14.957252044451556,-0.9495665694974402,-0.05969556782804746
19,Nuevo León,1991-03-15,1991,3,7.580563037985635,-7.4498701843039035,-0.495652392324663
19,Nuevo León,1991-04-15,1991,4,23.771329053465127,-10.0982332014196,-0.2981506854273918
19,Nuevo León,1991-05-15,1991,5,55.02155681651917,-2.9220294823533024,-0.05042886830099714
19,Nuevo León,1991-06-15,1991,6,100.63571240351739,41.122335125707856,0.6909763318211306
19,Nuevo León,1991-07-15,1991,7,46.77126587193502,-11.078508479177685,-0.1915047829216744
19,Nuevo León,1991-08-15,1991,8,35.43299064850723,-26.655578636230736,-0.42931539481910663
19,Nuevo León,1991-09-15,1991,9,132.97052893449407,20.636199717019323,0.1837034133801473
19,Nuevo León,1991-10-15,1991,10,26.54225935602073,-20.077608462905232,-0.4306663532571076
19,Nuevo León,1991-11-15,1991,11,13.419351668099175,-3.0303066251009554,-0.18421699533744157
19,Nuevo León,1991-12-15,1991,12,35.78649738578518,19.890531705847998,1.2512943287838427
20,Oaxaca,1991-01-15,1991,1,19.53755113859884,4.148420414230863,0.26956820944161786
20,Oaxaca,1991-02-15,1991,2,11.085356454635775,-3.471163728165372,-0.23846109403720192
20,Oaxaca,1991-03-15,1991,3,6.851803728662056,-6.9031140067852155,-0.5018651612139755
20,Oaxaca,1991-04-15,1991,4,15.090858446506001,-11.418636735543991,-0.43073761522534515
20,Oaxaca,1991-05-15,1991,5,95.53162456361157,4.135696250470829,0.0452503336505441
20,Oaxaca,1991-06-15,1991,6,263.6901682054904,8.012069793644002,0.03133655109065367
20,Oaxaca,1991-07-15,1991,7,183.90171126772074,-73.5474584126317,-0.2856775902751904
20,Oaxaca,1991-08-15,1991,8,190.93672535522913,-70.78800901894058,-0.27046740228128335
20,Oaxaca,1991-09-15,1991,9,255.4774948299989,-26.558536960475834,-0.0941671771222701
20,Oaxaca,1991-10-15,1991,10,201.0406075232212,66.13533143163681,0.49023532175820095
20,Oaxaca,1991-11-15,1991,11,49.33074468813022,1.053106262869555,0.021813541366566318
20,Oaxaca,1991-12-15,1991,12,36.24504289471641,11.468025858063442,0.46284933497436914
21,Puebla,1991-01-15,1991,1,18.84836842970427,2.185957123856973,0.1311909233143141
21,Puebla,1991-02-15,1991,2,6.739532921582098,-6.059856538108635,-0.4734488748227415
21,Puebla,1991-03-15,1991,3,6.935382207746492,-7.906089389982756,-0.5327025246736578
21,Puebla,1991-04-15,1991,4,27.249476277537603,-7.198866111516551,-0.20897568975057468
21,Puebla,1991-05-15,1991,5,71.63889775253404,-2.5769443094986855,-0.034722294295937074
21,Puebla,1991-06-15,1991,6,196.42616719585303,29.574520121864964,0.17725039363111922
21,Puebla,1991-07-15,1991,7,155.9730003018571,0.6601455202803379,0.004250424224116731
21,Puebla,1991-08-15,1991,8,85.24232900804937,-72.00005199534972,-0.45789215055064136
21,Puebla,1991-09-15,1991,9,207.7246928940481,13.117080288788742,0.06740270903685217
21,Puebla,1991-10-15,1991,10,105.35948830450239,12.44336982252247,0.1339204653166364
21,Puebla,1991-11-15,1991,11,40.03284033793369,8.179944547780611,0.25680379585172086
21,Puebla,1991-12-15,1991,12,22.24121582378443,6.161213500872222,0.3831599882353985
22,Querétaro,1991-01-15,1991,1,9.900465198963243,-5.627004087382611,-0.3623902893390838
22,Querétaro,1991-02-15,1991,2,2.097062794475755,-5.98924036730123,-0.740664831317687
22,Querétaro,1991-03-15,1991,3,1.1591294934117529,-8.039341692683445,-0.8739867234498769
22,Querétaro,1991-04-15,1991,4,12.930607337609423,-9.44831817968602,-0.42219713240405277
22,Querétaro,1991-05-15,1991,5,49.35822074008737,3.0160678729160537,0.06508260161242163
22,Querétaro,1991-06-15,1991,6,125.05855684920607,24.852683597751366,0.24801623688649982
22,Querétaro,1991-07-15,1991,7,256.9518640721323,127.33426722323722,0.9823841077047608
22,Querétaro,1991-08-15,1991,8,58.66413549301376,-45.23266231452824,-0.43536146704268053
22,Querétaro,1991-09-15,1991,9,148.67738929010622,25.344181313179234,0.20549357086309303
22,Querétaro,1991-10-15,1991,10,87.98544699551084,27.568750893424216,0.45631013729782666
22,Querétaro,1991-11-15,1991,11,22.36140927865712,6.604495127743117,0.41914902020076145
22,Querétaro,1991-12-15,1991,12,17.719781788076745,9.363080368488585,1.1204277738751642
23,Quintana Roo,1991-01-15,1991,1,51.98203119528915,-1.6689590090879705,-0.03110770188453685
23,Quintana Roo,1991-02-15,1991,2,31.649287692447277,-6.759781867384607,-0.17599441863215481
23,Quintana Roo,1991-03-15,1991,3,19.41032643361584,-20.506550035474735,-0.5137313299389514
23,Quintana Roo,1991-04-15,1991,4,12.079965122647275,-25.816862737979783,-0.6812407316234041
23,Quintana Roo,1991-05-15,1991,5,119.4956303146044,4.200367761791199,0.03643139942430106
23,Quintana Roo,1991-06-15,1991,6,87.71445369017714,-87.2459076296803,-0.4986609936760468
23,Quintana Roo,1991-07-15,1991,7,114.70334632248857,-23.344417339846345,-0.1691039153444516
23,Quintana Roo,1991-08-15,1991,8,132.9868031612027,-26.000504137639382,-0.16353823823663657
23,Quintana Roo,1991-09-15,1991,9,228.079243447225,25.144436906507394,0.12390401299376073
23,Quintana Roo,1991-10-15,1991,10,171.06589583020013,0.3209306805983658,0.0018795908875976267
23,Quintana Roo,1991-11-15,1991,11,83.84048052633052,-5.865545450789327,-0.06538630361671996
23,Quintana Roo,1991-12-15,1991,12,136.64343888978095,71.8361370393788,1.1084574575439299
24,San Luis Potosí,1991-01-15,1991,1,11.200799408325684,-6.063743586626531,-0.3512252590989197
24,San Luis Potosí,1991-02-15,1991,2,7.895800536901234,-3.8016549675434455,-0.32499845509982334
24,San Luis Potosí,1991-03-15,1991,3,2.932170760488139,-7.298680690769453,-0.7133991462530997
24,San Luis Potosí,1991-04-15,1991,4,13.831322730272976,-9.403289802784716,-0.4047104202579631
24,San Luis Potosí,1991-05-15,1991,5,50.86128128579754,1.5013850849905879,0.030417103773529467
24,San Luis Potosí,1991-06-15,1991,6,119.18415360680368,24.064521398651905,0.2529921619754704
24,San Luis Potosí,1991-07-15,1991,7,233.4208992139395,124.77068101038276,1.1483702754892242
24,San Luis Potosí,1991-08-15,1991,8,51.29446570930061,-33.633017721578625,-0.3960204207505084
24,San Luis Potosí,1991-09-15,1991,9,151.97912841678857,36.69025709923781,0.3182463032201821
24,San Luis Potosí,1991-10-15,1991,10,59.5494389285249,2.5018195141375017,0.04385493277054333
24,San Luis Potosí,1991-11-15,1991,11,25.542557539765134,8.22866001320278,0.47526329646913235
24,San Luis Potosí,1991-12-15,1991,12,25.57257532342128,11.866336539509637,0.8657616963041912
25,Sinaloa,1991-01-15,1991,1,12.861859240623689,-12.047746081156474,-0.4836586499675412
25,Sinaloa,1991-02-15,1991,2,11.797729586957297,-0.7031432339902999,-0.056247531197345615
