cve_ent,nombre_estado,n_year,pr_mm,anomaly_pr_mm,anomaly_pr_prop
10,Durango,1983,592.3799797931879,-17.38376280358011,-0.028509013555887756
11,Guanajuato,1983,611.2376102615544,14.478293450229557,0.02426152896546583
12,Guerrero,1983,1157.1846466161642,-74.193063583597,-0.060252076165615315
13,Hidalgo,1983,733.5856732437753,-85.99290509560797,-0.10492331957949094
14,Jalisco,1983,932.1751906352102,51.8096632088874,0.05885017256451277
15,Estado de México,1983,884.3339855536507,-34.365461537310466,-0.03740664223335264
16,Michoacán,1983,1007.7142455660812,117.88165139703449,0.13247621200830031
17,Morelos,1983,844.0012830465474,-142.047081424412,-0.14405691094130454
18,Nayarit,1983,1199.1354281656759,95.3627854279041,0.08639712721214804
19,Nuevo León,1983,491.0136133285765,-23.145508628684524,-0.045016236492267214
