cve_ent,nombre_estado,date_year_month,n_year,n_month,pr_mm,cumsum_pr_mm,anomaly_pr_mm,anomaly_pr_prop,cumulative_anomaly_pr_mm,cumulative_anomaly_pr_prop
28,Tamaulipas,1996-04-15,1996,4,10.436727380464031,34.75008160107335,-25.064608686678003,-0.7060187436121973,-59.69067988511857,-0.6320436106801816
28,Tamaulipas,1996-05-15,1996,5,28.55203853524768,63.30212013632102,-41.74926658833225,-0.5938618993622216,-101.4399464734508,-0.6157501150797984
28,Tamaulipas,1996-06-15,1996,6,73.99791691660359,137.3000370529246,-25.600621369087065,-0.25703812334728926,-127.04056784253788,-0.4805942238528886
28,Tamaulipas,1996-07-15,1996,7,20.95445933270124,158.25449638562586,-75.22719962801551,-0.7821366406119111,-202.26776747055337,-0.5610409890004538
28,Tamaulipas,1996-08-15,1996,8,186.23154300658783,344.4860393922137,100.60939669864736,1.1750394148822803,-101.658370771906,-0.22785978812221297
28,Tamaulipas,1996-09-15,1996,9,122.11650795087304,466.6025473430867,-17.859310003216663,-0.12758853825075908,-119.5176807751227,-0.2039132502879908
28,Tamaulipas,1996-10-15,1996,10,49.73631027793434,516.338857621021,-20.400425071622053,-0.29086647631869117,-139.91810584674477,-0.2132062799111423
28,Tamaulipas,1996-11-15,1996,11,23.28740630206265,539.6262639230837,-1.6691008411218746,-0.06688038640766668,-141.58720668786657,-0.20784557674833304
28,Tamaulipas,1996-12-15,1996,12,14.48020511622206,554.1064690393057,-6.404815280579619,-0.30667029090191594,-147.99202196844624,-0.21078527281268897
28,Tamaulipas,1997-01-15,1997,1,14.756189726849165,14.756189726849165,-8.423370105878416,-0.3633964651039373,-8.423370105878416,-0.3633964651039373
28,Tamaulipas,1997-02-15,1997,2,12.391416626569404,27.147606353418567,-5.890439405749822,-0.32220138892552935,-14.313809511628236,-0.34523204798935003
28,Tamaulipas,1997-03-15,1997,3,60.81283725017509,87.96044360359366,43.334827696172006,2.4793914640152366,29.02101818454377,0.4923871920740484
28,Tamaulipas,1997-04-15,1997,4,99.85757454535192,187.81801814894558,64.35623847820989,1.8127835627508755,93.37725666275367,0.9887389215556701
28,Tamaulipas,1997-05-15,1997,5,110.05838306914208,297.87640121808766,39.75707794556216,0.5655240379346407,133.13433460831584,0.8081380630223249
28,Tamaulipas,1997-06-15,1997,6,87.36582779084611,385.2422290089338,-12.23271049484454,-0.1228201809524148,120.90162411347131,0.45737061153084557
28,Tamaulipas,1997-07-15,1997,7,28.875811374271137,414.11804038320497,-67.30584758644561,-0.6997784017630136,53.59577652702575,0.14866148890157407
28,Tamaulipas,1997-08-15,1997,8,34.132168998679425,448.2502093818844,-51.48997730926104,-0.6013628427869244,2.1057992177647407,0.004719994624588251
28,Tamaulipas,1997-09-15,1997,9,92.56463672967573,540.8148461115602,-47.41118122441398,-0.33870979943095775,-45.30538200664921,-0.07729707973414623
28,Tamaulipas,1997-10-15,1997,10,172.3863428860396,713.2011889975998,102.24960753648323,1.4578609487150866,56.94422552983406,0.08677123245890107
28,Tamaulipas,1997-11-15,1997,11,20.66387881243679,733.8650678100366,-4.2926283307477355,-0.1720043716902919,52.65159719908638,0.0772908926064916
28,Tamaulipas,1997-12-15,1997,12,14.317616217552276,748.182684027589,-6.567404179249403,-0.31445524373321326,46.084193019837016,0.06563778958375256
28,Tamaulipas,1998-01-15,1998,1,10.074044014371992,10.074044014371992,-13.105515818355588,-0.5653910562983041,-13.105515818355588,-0.5653910562983041
28,Tamaulipas,1998-02-15,1998,2,23.233457785285715,33.30750179965771,4.951601752966489,0.27084786928706234,-8.153914065389095,-0.19666270182208334
28,Tamaulipas,1998-03-15,1998,3,21.165141028273343,54.472642827931054,3.687131474270256,0.21095831667089182,-4.466782591118836,-0.07578598806080523
28,Tamaulipas,1998-04-15,1998,4,3.8865843477376343,58.359227175668686,-31.6147517194044,-0.8905228710156959,-36.08153431052323,-0.3820546736675633
28,Tamaulipas,1998-05-15,1998,5,16.105737601438346,74.46496477710703,-54.19556752214157,-0.7709041450492746,-90.2771018326648,-0.5479905872888323
28,Tamaulipas,1998-06-15,1998,6,43.38407752200476,117.84904229911179,-56.21446076368589,-0.5644104997047155,-146.49156259635072,-0.5541772996028478
28,Tamaulipas,1998-07-15,1998,7,34.30904198147676,152.15808428058855,-61.872616979239986,-0.643289143146413,-208.36417957559067,-0.5779509352540625
28,Tamaulipas,1998-08-15,1998,8,69.2487103127568,221.40679459334535,-16.37343599518367,-0.1912289834022208,-224.73761557077432,-0.5037328955620038
28,Tamaulipas,1998-09-15,1998,9,182.29453311084296,403.7013277041883,42.31871515675326,0.3023287577475222,-182.4189004140211,-0.3112311973939085
28,Tamaulipas,1998-10-15,1998,10,108.4831533861068,512.1844810902951,38.34641803655042,0.5467379946533676,-144.0724823774707,-0.2195366912621679
28,Tamaulipas,1998-11-15,1998,11,23.29705688595354,535.4815379762487,-1.6594502572309828,-0.06649369031131301,-145.7319326347016,-0.2139299043866544
28,Tamaulipas,1998-12-15,1998,12,10.21824555246146,545.6997835287101,-10.66677484434022,-0.5107380620980252,-156.39870747904183,-0.22275892838703598
28,Tamaulipas,1999-01-15,1999,1,7.507475126865373,7.507475126865373,-15.672084705862208,-0.6761165793896805,-15.672084705862208,-0.6761165793896805
28,Tamaulipas,1999-02-15,1999,2,6.800745520672921,14.308220647538294,-11.481110511646305,-0.6280057392066564,-27.15319521750851,-0.6549027487601902
28,Tamaulipas,1999-03-15,1999,3,18.87160060396343,33.17982125150172,1.3935910499603423,0.0797339677412615,-25.75960416754817,-0.43705217661016377
28,Tamaulipas,1999-04-15,1999,4,11.703657611330268,44.88347886283199,-23.797678455811766,-0.6703319111935483,-49.557282623359924,-0.5247446319098734
28,Tamaulipas,1999-05-15,1999,5,48.412629807838535,93.29610867067052,-21.888675315741388,-0.3113551772227292,-71.4459579391013,-0.4336837543038532
28,Tamaulipas,1999-06-15,1999,6,72.00445514212724,165.30056381279775,-27.59408314356341,-0.2770530935344847,-99.04004108266474,-0.3746682849645125
28,Tamaulipas,1999-07-15,1999,7,133.9025308101972,299.20309462299497,37.720871849480446,0.39218362686888875,-61.319169233184255,-0.17008427878297666
