date_year,nombre_estado,cve_ent,nombre_municipio,cve_mun,hombres,mujeres,total
2015,Chihuahua,08,Balleza,08007,8907,8579,17486
2015,Chihuahua,08,Batopilas,08008,6634,6556,13190
2015,Chihuahua,08,Bocoyna,08009,14543,15029,29572
2015,Chihuahua,08,Buenaventura,08010,11925,11690,23615
2015,Chihuahua,08,Camargo,08011,25671,26523,52194
2015,Chihuahua,08,Carichí,08012,4692,4617,9309
2015,Chihuahua,08,Casas Grandes,08013,5720,5459,11179
2015,Chihuahua,08,Chihuahua,08019,431408,453401,884809
2015,Chihuahua,08,Chínipas,08020,4310,3893,8203
2015,Chihuahua,08,Coronado,08014,1160,1067,2227
2015,Chihuahua,08,Coyame del Sotol,08015,927,777,1704
2015,Chihuahua,08,Cuauhtémoc,08017,80963,85476,166439
2015,Chihuahua,08,Cusihuiriachi,08018,2607,2446,5053
2015,Chihuahua,08,Delicias,08021,72883,75836,148719
2015,Chihuahua,08,Dr. Belisario Domínguez,08022,1387,1344,2731
2015,Chihuahua,08,El Tule,08064,932,894,1826
2015,Chihuahua,08,Galeana,08023,3179,3186,6365
2015,Chihuahua,08,Gran Morelos,08026,1461,1399,2860
2015,Chihuahua,08,Guachochi,08027,23874,24609,48483
2015,Chihuahua,08,Guadalupe,08028,3089,3067,6156
2015,Chihuahua,08,Guadalupe y Calvo,08029,28579,27936,56515
2015,Chihuahua,08,Guazapares,08030,4291,4107,8398
2015,Chihuahua,08,Guerrero,08031,20414,20143,40557
2015,Chihuahua,08,Gómez Farías,08025,4486,4509,8995
2015,Chihuahua,08,Hidalgo del Parral,08032,54660,57996,112656
2015,Chihuahua,08,Huejotitán,08033,519,513,1032
2015,Chihuahua,08,Ignacio Zaragoza,08034,3622,3541,7163
2015,Chihuahua,08,Janos,08035,5725,5237,10962
2015,Chihuahua,08,Jiménez,08036,21754,21917,43671
2015,Chihuahua,08,Julimes,08038,2450,2340,4790
2015,Chihuahua,08,Juárez,08037,709404,706671,1416075
2015,Chihuahua,08,La Cruz,08016,2041,1950,3991
2015,Chihuahua,08,López,08039,2161,2001,4162
2015,Chihuahua,08,Madera,08040,15572,15258,30830
2015,Chihuahua,08,Maguarichi,08041,937,874,1811
2015,Chihuahua,08,Manuel Benavides,08042,823,699,1522
2015,Chihuahua,08,Matachí,08043,1594,1573,3167
2015,Chihuahua,08,Matamoros,08044,2336,2243,4579
2015,Chihuahua,08,Meoqui,08045,22806,23113,45919
2015,Chihuahua,08,Morelos,08046,4258,4166,8424
2015,Chihuahua,08,Moris,08047,2798,2580,5378
2015,Chihuahua,08,Namiquipa,08048,12087,11606,23693
2015,Chihuahua,08,Nonoava,08049,1432,1347,2779
2015,Chihuahua,08,Nuevo Casas Grandes,08050,31049,32335,63384
2015,Chihuahua,08,Ocampo,08051,3984,3614,7598
2015,Chihuahua,08,Ojinaga,08052,13921,13709,27630
2015,Chihuahua,08,Praxedis G. Guerrero,08053,3013,2925,5938
2015,Chihuahua,08,Riva Palacio,08054,4191,4039,8230
2015,Chihuahua,08,Rosales,08055,8823,8636,17459
2015,Chihuahua,08,Rosario,08056,1093,1068,2161
2015,Chihuahua,08,San Francisco de Borja,08057,1180,1124,2304
2015,Chihuahua,08,San Francisco de Conchos,08058,1432,1329,2761
2015,Chihuahua,08,San Francisco del Oro,08059,2575,2547,5122
2015,Chihuahua,08,Santa Bárbara,08060,5444,5499,10943
2015,Chihuahua,08,Santa Isabel,08024,2083,2091,4174
2015,Chihuahua,08,Satevó,08061,1830,1687,3517
2015,Chihuahua,08,Saucillo,08062,16210,16103,32313
2015,Chihuahua,08,Temósachic,08063,3408,3211,6619
2015,Chihuahua,08,Urique,08065,10812,10480,21292
2015,Chihuahua,08,Uruachi,08066,3616,3452,7068
2015,Chihuahua,08,Valle de Zaragoza,08067,2689,2570,5259
2015,Ciudad de México,09,Azcapotzalco,09002,197278,220390,417668
2015,Ciudad de México,09,Benito Juárez,09014,190010,224751,414761
2015,Ciudad de México,09,Coyoacán,09003,297522,334990,632512
2015,Ciudad de México,09,Cuajimalpa de Morelos,09004,93271,101580,194851
2015,Ciudad de México,09,Cuauhtémoc,09015,257526,286118,543644
2015,Ciudad de México,09,Gustavo A. Madero,09005,576478,622151,1198629
2015,Ciudad de México,09,Iztacalco,09006,188903,208913,397816
2015,Ciudad de México,09,Iztapalapa,09007,899221,949733,1848954
2015,Ciudad de México,09,La Magdalena Contreras,09008,117649,127136,244785
2015,Ciudad de México,09,Miguel Hidalgo,09016,173003,201776,374779
2015,Ciudad de México,09,Milpa Alta,09009,66188,69084,135272
2015,Ciudad de México,09,Tlalpan,09012,323351,350568,673919
2015,Ciudad de México,09,Tláhuac,09011,176935,189739,366674
2015,Ciudad de México,09,Venustiano Carranza,09017,208090,232502,440592
2015,Ciudad de México,09,Xochimilco,09013,207257,214436,421693
2015,Ciudad de México,09,Álvaro Obregón,09010,358767,393418,752185
2015,Coahuila,05,Abasolo,05001,548,542,1090
2015,Coahuila,05,Acuña,05002,77876,76342,154218
2015,Coahuila,05,Allende,05003,11687,11926,23613
2015,Coahuila,05,Arteaga,05004,12243,11629,23872
2015,Coahuila,05,Candela,05005,970,878,1848
2015,Coahuila,05,Castaños,05006,14256,14196,28452
2015,Coahuila,05,Cuatro Ciénegas,05007,7061,6859,13920
2015,Coahuila,05,Escobedo,05008,1601,1557,3158
